grouping,mc_run_id,mean_ghgs,mean_land,mean_watscar,mean_eut,mean_ghgs_ch4,mean_ghgs_n2o,mean_bio,mean_watuse,mean_acid,sd_ghgs,sd_land,sd_watscar,sd_eut,sd_ghgs_ch4,sd_ghgs_n2o,sd_bio,sd_watuse,sd_acid,n_participants,sex,diet_group,age_group
meat50-99_male_50-59,500.5,7.752900129514,13.735965671516,18955.503935380002,30.63281191321,1.546929675381,0.54584339208,321.3029927782,851.2931917815,34.52329983909,2.415078868491,6.476551491404,6995.412259222,7.937148856158,0.609571354245,0.17914313825599998,168.07772030709,352.9277586323,8.697047023633,671.0,male,meat,50-59
meat50-99_male_60-69,500.5,7.835827297245,13.971773399314,19187.992738480003,30.65972311085,1.579146512461,0.5504698219399999,326.0344979316,857.2477226441999,34.76699641503,2.359880982297,6.451307751263,7258.175927624,7.60355756937,0.590643739221,0.17777974835500002,166.08681858577,351.25791721679997,8.285806944681001,634.0,male,meat,60-69
meat50-99_male_70-79,500.5,8.023873929639,14.815728807134,19365.56425826,30.94930772039,1.649471965289,0.5677855464839999,329.42742060439997,870.0165619881999,34.58744790741,2.553631885337,7.38697630627,6785.614975758001,7.489692238847001,0.645649361571,0.180411236129,165.58337545994,343.1301074485,8.41552442733,231.0,male,meat,70-79
vegan_female_20-29,500.5,2.383216383473,4.049672932221,13526.411130525,10.647845089806,0.13821316571599998,0.198465641654,109.76387161257,411.9156576172,10.489060925259,0.912670507673,1.504850986791,7973.396780399,4.294962373979001,0.140830640453,0.086639962027,74.01650128639001,237.76858298603,4.5231544220619995,487.0,female,vegan,20-29
vegan_female_30-39,500.5,2.540393020847,4.26257299745,13977.927843938001,11.121255576369,0.151392087424,0.212639307399,123.44189220551999,425.5035996251,11.007468070412001,0.970314854936,1.561350077052,7526.25856249,4.5143011721279995,0.165331963627,0.096904414301,85.02759872749,224.27066725746002,4.48983293668,376.0,female,vegan,30-39
vegan_female_40-49,500.5,2.657602421868,4.5256259728309995,15304.059745505,11.714302841621,0.17236196784000002,0.222044143297,127.59025100421,451.6882750781,11.87214351147,1.093926963755,1.857306266836,10309.818236804,5.070536328592,0.18288342074400002,0.09833764745000001,88.60677194909,281.64199022446996,5.486456880373,219.0,female,vegan,40-49
vegan_female_50-59,500.5,2.520496825096,4.427549281558999,15130.223558038,10.83069242073,0.14211403315,0.218735418186,125.14239314571,424.6928309056,11.467556763393,0.973431528089,1.750923783466,8964.483612958,4.070273206861,0.16390634676,0.094400838079,85.02198061888,222.03297020686,5.014067535755,106.0,female,vegan,50-59
vegan_female_60-69,500.5,2.633644804226,4.742450322123,15675.19873058,11.333483697698,0.145497196981,0.223279134154,128.76213270617,439.4109382185,11.907675093925,1.0697089511940001,2.0444529070799997,9024.575135303,4.730769227173,0.174003285019,0.097033791481,84.73943535228,241.5339809818,5.269492563789,81.0,female,vegan,60-69
vegan_female_70-79,500.5,2.839875594178,4.7578076945809995,16572.485297502,12.405906739564,0.195633864786,0.229870085728,135.01084492166,505.9307334576,12.36918122838,1.458062391209,2.290874164896,10218.714541336,7.089720045522,0.222558570492,0.114813488413,92.85530667727,342.57547673603,6.783754754529,25.0,female,vegan,70-79
vegan_male_20-29,500.5,2.84322830886,4.845974177056,15880.592028433,12.836418062532001,0.161167919652,0.230182435952,124.67516425107,492.22227867460003,12.428286924933,1.24943912492,2.395785861277,8554.091776483,8.299050334220999,0.26971468431400003,0.13201030714800002,82.16533856516999,250.971576897,6.8459395397469995,198.0,male,vegan,20-29
vegan_male_30-39,500.5,2.698172418304,4.49025876692,15193.40325858,11.620285808197,0.14590310576499999,0.217411423007,126.10966552563,452.7532876556,11.770707828851,0.970358589666,1.636981760853,8848.272732155001,4.437616951372,0.12322308275800001,0.100249210378,81.4629333721,244.11340037893,4.635491020084,251.0,male,vegan,30-39
vegan_male_40-49,500.5,2.694366019617,4.553663880856,14841.207695543,11.630236431426999,0.147843090695,0.224855780201,132.01233409225998,441.9061889351,11.678908129629999,1.024971871081,1.661599205738,8396.13222952,4.744689302279,0.144337522164,0.107046451387,85.66001891616,235.18024033366,4.837686491414,165.0,male,vegan,40-49
vegan_male_50-59,500.5,2.524737409503,4.4137992808019995,14370.528918144,11.197674368305,0.142867339974,0.211573632669,122.92527060284,416.335442421,11.196164372016002,0.793338012258,1.536761674974,6636.036392118001,4.120818702517,0.117793988554,0.08619754635799999,75.32527080994001,178.59921900968,3.8418389814080003,62.0,male,vegan,50-59
vegan_male_60-69,500.5,2.427010725764,4.5595759987880005,17095.889355713,10.762747965166,0.10871546895800001,0.213271624774,117.69437134411,477.7623619724,11.452590982967,0.881278617773,1.816843566782,11151.589713471,4.310485023566,0.078614792987,0.100086537068,74.09053794864,280.84817278038,4.393579489206,52.0,male,vegan,60-69
vegan_male_70-79,500.5,2.587986805198,4.49938951313,16181.930817624001,11.433533300773998,0.164137273053,0.217562651141,119.2856002036,460.1116967641,11.543243117288,0.974164613646,1.800871775746,8287.5645656,4.000338754886,0.213983131001,0.082899310919,76.53081085456,221.94633187173002,5.028801207818,19.0,male,vegan,70-79
veggie_female_20-29,500.5,4.319955997758,6.207026791511,15116.316008132,17.35317257718,0.7671265703860001,0.290159041211,242.83149444474998,545.5731476233,20.430360412000002,1.632271734481,2.635130947658,6976.524649825999,5.876320465256,0.424607198844,0.12200876535800001,149.15893623208999,233.8713508289,7.726531149601,3752.0,female,veggie,20-29
veggie_female_30-39,500.5,4.367724164195001,6.265816777324,15473.426301767999,17.39704401576,0.766631297929,0.293230105402,248.10963180567998,547.9089722044,20.834743158779997,1.627443440665,2.487663161889,7045.556767985,5.758944206830001,0.435627867591,0.124593455752,154.11723299881,233.41621340080002,7.674761640498,3634.0,female,veggie,30-39
veggie_female_40-49,500.5,4.386548303825,6.317881972941,15792.643373122999,17.35567046528,0.766623857288,0.29251551919700003,248.88696790858,546.7289578291,21.15639647047,1.675361635479,2.57152320624,7229.344962192,5.78936433595,0.45153677975400003,0.125332391406,158.31568909371,235.16251315099998,7.983136935515,2696.0,female,veggie,40-49
veggie_female_50-59,500.5,4.370471444328,6.310075911588999,16380.318605412998,17.16368537065,0.755226412031,0.293825073014,246.15687949091,553.1083546952,21.28799944948,1.6626774128239998,2.455870631416,7764.333159192,5.866691388018,0.453771866667,0.125072560055,158.68106801829,247.1840063466,7.989805792547,1203.0,female,veggie,50-59
veggie_female_60-69,500.5,4.472485087662,6.476280588034999,16815.591083498002,17.44472615454,0.795629508594,0.29965654976,253.65631137871,564.2192593340999,21.84614780156,1.71560051068,2.550503985203,8074.169082939,5.921447462393,0.47619783436,0.129621434605,170.20551674689,256.8769479298,8.129784176,536.0,female,veggie,60-69
veggie_female_70-79,500.5,4.4734452564780005,6.632652876176,17181.322996656,17.47861677613,0.79871889352,0.305595039732,256.6978807305,565.1838732051999,21.91167941945,1.688942010921,2.524324617564,7652.026873602,5.601075696717,0.472770289116,0.12468048846,168.02560206559,231.3237753094,8.017798410096999,289.0,female,veggie,70-79
veggie_male_20-29,500.5,4.899777121339,6.903258500653,16770.457919306,19.493234797640003,0.8526208615530001,0.32255469485,268.229958412,609.3923080941,23.13038268794,1.912802635285,2.7629974377039996,8083.8655955720005,6.7260373691140005,0.505458708625,0.139996035131,174.22195383471,269.4889120599,9.292533026814999,646.0,male,veggie,20-29
veggie_male_30-39,500.5,4.807758162692999,6.787162913364,16603.476202238,18.988079857339997,0.8119912404509999,0.31632551751599997,266.1488972905,594.3070152665,22.86409092652,1.90666352147,2.703824688823,8032.172974154,6.677684260274,0.506768535225,0.13747187651300002,175.1219900004,267.3444943883,9.331238526847,1221.0,male,veggie,30-39
veggie_male_40-49,500.5,4.610379492209,6.6104741896879995,16477.661724032,18.27581294297,0.764687251658,0.304605360566,251.3519262479,576.2406652619001,21.86619864283,1.7882379424250001,2.749096705023,7881.819381126,6.434834615301,0.474374140521,0.133076279571,163.53769232028,261.4572544349,8.565340194991,961.0,male,veggie,40-49
veggie_male_50-59,500.5,4.455095310198001,6.522067628169999,16333.40931528,17.61907143639,0.733031130896,0.29952328765999997,244.2484288057,559.640001432,21.18660753071,1.756344101314,2.913828237121,7826.7154677240005,6.296666267714,0.469605208774,0.133225394268,162.81625344951,257.4386574196,8.310074634274,426.0,male,veggie,50-59
veggie_male_60-69,500.5,4.44484358452,6.628730014408,16725.207749553,17.54301248117,0.738549691927,0.305724163381,248.6038537398,566.8259603655999,21.321332449369997,1.7071704520470001,2.701819867618,8429.038591018001,6.148242664441,0.46325564208,0.13063576792,164.80115050592,267.84420303630003,8.227251855082999,229.0,male,veggie,60-69
veggie_male_70-79,500.5,4.612451445292001,6.84265292261,17972.881278657,18.28381331859,0.7946728499429999,0.319632836765,259.42135072729997,602.5715334267001,22.133811343820003,1.8615280527770002,2.704479763886,10261.231468008,6.847723298603,0.499922742315,0.146075076493,176.06705784324998,316.2545225805,8.917027834263001,158.0,male,veggie,70-79
